# char|        |         | char| mJy*km/s|    |char|char|char|char|     Miotello |     Miotello |      Miotello|    | ouble| Meath|  det|ong| mJy  |    M_sun| (M_Earth)|  (L_sun)|
# |        |         |	   |         |    |    |    |    | Meg|              |              |              |    |      |(Megan|     |   |      |   (Anna)|  (Megan))| (Carlo))|
# N/A|        |         |     |  N/A    | N/A|    | N/A| N/A|    |              |              |              |    | 1e+20|      |     |   |      |         |          |         |
source ID_ALMA CODE lF13 F13 e13 lF18 F18 e18 mgas M_gas[M_sun] Min_gas[M_sun] Max_gas[M_sun] d mstar Md CN i F_dust M_dust M_d L_star logMgas l_Mgas Dp_Mg Dn_Mg
J160831.1-385600 G30 III_52 < 159.0 53.0 < 198.0 66.0 <1.0 0.00054 0.0 0.0 200 -99.0 <0.40 0 -99 0.25 1e-07 <0.40 -99.0 -4.564209064937076 < 0.14315456428412787 0.14315456428412787
V856Sco G3 III_53 < 180.0 60.0 < 219.0 73.0 <1.0 0.000597 0.0 0.0 200 2.84 23.30 0 -99 55.81 3.587e-05 23.30 70.0 -4.507658093731874 < 0.14315456428412787 0.14315456428412787
Sz106 M8 III_57 < 114.0 38.0 < 141.0 47.0 <1.0 0.000386 0.0 0.0 200 0.51 0.83 0 -99 1.99 1e-06 0.83 0.098 -4.715877197025556 < 0.14315456428412698 0.14315456428412698
Sz108B M53 III_60 . 346.0 47.0 . 240.0 69.0 1.1 0.00065375 0.0002 0.0015 200 0.19 11.20 1 45 26.77 1.54e-05 11.20 0.151 -3.1919819721635934 . 0.22683613618443405 0.2294406335912936
J16084940-3905393 M32 III_65 < 84.0 28.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.26 0.71 0 -99 1.7 7e-07 0.71 0.24 -4.855089290080568 < 0.14315456428412787 0.14315456428412787
V1192Sco M36 III_66 < 114.0 38.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.16 0.38 0 -99 0.91 4e-07 0.38 0.003 -4.715877197025556 < 0.14315456428412698 0.14315456428412698
Sz110 M33 III_67 < 105.0 35.0 < 123.0 41.0 <1.0 0.00033725 0.0 0.0 200 0.26 6.43 0 50 15.4 8.5e-06 6.43 0.276 -4.753366475773177 < 0.14315456428412787 0.14315456428412787
J16085324-3914401 M9 III_68 . 267.0 50.0 < 132.0 44.0 0.2 3.4e-05 2e-05 7e-05 200 0.32 8.18 1 0 19.57 1.12e-05 8.18 0.302 -4.445418604250825 . 0.1452690997322649 0.13598158216559839
J16085373-3914367 M54 III_70 < 111.0 37.0 < 132.0 44.0 <1.0 0.00036175 0.0 0.0 200 0.1 1.32 1 -99 3.17 1.6e-06 1.32 0.007 -4.728034255250476 < 0.14315456428412787 0.14315456428412787
Sz111 M10 III_71 . 2380.0 292.0 . 714.0 70.0 3.3 0.001935 0.001 0.008 200 0.46 74.90 1 55 179.39 0.0002519 74.90 0.33 -2.5225924054363316 . 0.16555096946219844 0.1365959286909175
J16085529-3848481 M24 III_72 < 108.0 36.0 < 129.0 43.0 <1.0 0.0003535 0.0 0.0 200 0.1 0.76 0 -99 1.81 1e-06 0.76 0.076 -4.740524424682376 < 0.14315456428412787 0.14315456428412787
Sz112 M45 III_73 < 84.0 28.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.2 1.63 0 -99 3.89 1.9e-06 1.63 0.191 -4.855089290080568 < 0.14315456428412787 0.14315456428412787
